Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
675,26,female,3,rent,little,,4530,30,radio/TV,good
703,41,male,2,own,moderate,moderate,2503,30,business,good
12,22,female,2,own,little,moderate,1567,12,radio/TV,good
845,35,male,2,own,,moderate,3976,21,furniture/equipment,good
795,22,female,2,rent,moderate,,2301,9,furniture/equipment,good
566,36,male,2,own,little,little,1372,12,car,bad
843,50,male,2,own,little,,1559,24,business,good
750,49,female,2,own,little,little,428,6,furniture/equipment,good
841,28,male,1,own,little,,2993,21,car,good
380,39,male,2,own,,little,2212,20,furniture/equipment,good
722,24,female,1,own,little,little,1228,12,car,bad
963,35,male,2,own,quite rich,,2397,24,radio/TV,bad
231,51,male,1,free,quite rich,,2507,9,car,good
974,33,female,2,own,little,,2831,30,radio/TV,good
908,46,female,1,own,little,,3594,15,car,good
171,26,female,2,own,little,,763,12,furniture/equipment,good
650,50,male,3,free,little,little,7476,48,education,good
240,29,female,2,own,,little,915,24,car,bad
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
992,23,male,1,rent,,little,1936,18,radio/TV,good
597,36,male,1,own,little,moderate,4241,24,business,bad
763,30,male,3,free,,,12680,21,car,bad
690,25,male,2,own,little,little,975,15,furniture/equipment,good
816,62,male,2,own,quite rich,,1338,6,domestic appliances,good
576,27,female,2,own,little,moderate,2930,12,radio/TV,good
882,36,male,2,own,,moderate,2181,30,car,good
478,39,male,1,own,moderate,moderate,1037,12,business,good
252,24,female,2,own,little,moderate,2150,30,car,bad
948,43,male,1,own,little,,1533,18,furniture/equipment,bad
951,24,male,2,own,little,little,2145,36,business,bad
792,27,male,2,own,,,1221,6,furniture/equipment,good
691,25,female,1,own,moderate,moderate,2631,15,repairs,good
406,43,male,2,own,,,2197,24,car,good
453,35,male,3,own,little,,2670,24,car,good
402,27,male,2,own,little,,8648,24,business,bad
439,26,female,0,own,little,rich,609,12,business,bad
501,42,male,2,free,little,little,5493,36,car,good
311,25,male,2,own,moderate,,5511,24,furniture/equipment,good
678,64,male,1,rent,little,little,2384,24,radio/TV,good
127,30,male,2,own,little,moderate,639,12,repairs,bad
438,65,male,0,own,little,little,3394,42,repairs,good
397,46,male,2,own,little,little,2348,36,furniture/equipment,good
222,30,male,2,own,little,,707,12,radio/TV,good
609,45,male,2,free,,,1300,15,car,good
270,32,male,2,own,,,2662,18,car,good
803,35,male,2,own,,,976,12,radio/TV,good
641,38,male,1,own,little,moderate,1308,15,repairs,good
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good
52,25,male,2,own,little,,1262,12,radio/TV,good
787,38,male,2,own,,,2751,48,car,good
579,27,male,1,own,little,,937,24,education,good
824,35,male,3,own,little,,3780,18,furniture/equipment,good
256,35,male,1,own,little,,2684,24,radio/TV,good
354,46,male,2,free,quite rich,,727,10,education,good
516,40,male,1,own,little,little,1361,6,car,good
350,23,female,2,rent,little,,1236,9,domestic appliances,good
774,66,male,0,free,quite rich,rich,1480,12,car,good
253,35,male,2,own,moderate,,4151,24,furniture/equipment,good
979,25,male,2,rent,moderate,moderate,1264,15,car,bad
645,27,male,2,rent,,,7980,36,business,bad
748,26,male,2,own,,,5248,21,car,good
710,32,male,3,own,quite rich,,629,18,radio/TV,good
421,30,male,2,own,,moderate,2028,12,car,good
847,28,male,2,own,little,,1249,24,car,good
267,38,female,2,own,little,,1533,24,radio/TV,good
642,40,male,3,own,moderate,,4623,15,education,bad
344,37,male,1,own,little,rich,3949,10,car,good
872,26,male,2,own,moderate,little,1382,24,business,good
781,60,male,2,own,rich,,1940,24,car,good
89,28,male,2,own,little,little,1108,12,repairs,bad
168,25,female,2,rent,little,,3972,24,furniture/equipment,good
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,good
420,20,female,2,rent,rich,,3186,15,car,good
925,46,male,2,own,little,little,697,12,car,bad
519,36,male,2,free,,,700,6,radio/TV,good
864,25,male,1,rent,little,,2210,10,furniture/equipment,bad
120,25,female,2,own,little,little,1835,21,radio/TV,bad
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good
76,34,male,2,own,little,little,3965,42,radio/TV,bad
414,35,female,2,own,,little,1381,24,car,bad
796,51,male,2,free,,little,7511,18,car,bad
64,26,female,2,own,little,,3181,24,radio/TV,good
944,46,female,2,rent,little,little,1845,15,furniture/equipment,good
83,58,female,1,own,little,little,1755,24,vacation/others,good
940,45,male,3,own,,,3527,12,car,good
117,27,female,2,rent,,little,2132,10,furniture/equipment,good
337,24,female,2,rent,,little,1275,15,domestic appliances,bad
967,54,female,3,rent,little,,3568,15,radio/TV,good
456,36,male,2,rent,little,little,3905,11,car,good
802,24,female,2,own,little,little,4272,20,furniture/equipment,good
848,59,male,2,own,little,little,1364,9,radio/TV,good
793,51,male,2,free,little,rich,2892,24,furniture/equipment,good
930,24,male,1,own,little,little,1747,24,furniture/equipment,good
178,31,male,3,rent,little,,1963,12,radio/TV,good
915,32,female,3,own,little,moderate,18424,48,vacation/others,bad
938,42,male,2,free,little,moderate,6288,60,education,bad
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
895,31,male,3,own,,,8947,36,car,good
752,23,female,1,rent,moderate,moderate,841,12,business,good
204,38,male,1,own,little,,1495,12,car,good
373,63,male,3,free,,,13756,60,car,good
894,29,male,2,own,,,1169,18,radio/TV,good
534,25,male,2,own,,,3105,24,radio/TV,good
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good
254,24,male,2,own,,moderate,2030,9,furniture/equipment,good
811,28,male,1,own,little,moderate,484,6,radio/TV,good
379,52,female,1,own,moderate,,362,6,car,good
506,36,male,2,own,quite rich,rich,2360,15,car,good
323,28,male,2,own,rich,little,2659,18,furniture/equipment,good
326,49,male,2,rent,,,5801,12,furniture/equipment,good
986,33,male,2,own,little,rich,6289,42,business,good
859,26,male,2,rent,moderate,,3577,9,car,good
725,41,female,1,own,rich,,250,6,car,good
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
965,26,female,2,own,,moderate,1715,30,radio/TV,good
0,67,male,2,own,,little,1169,6,radio/TV,good
754,55,male,2,free,rich,,1555,12,repairs,bad
283,63,male,2,own,,,1520,15,furniture/equipment,good
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good
218,24,male,1,rent,little,little,3021,24,furniture/equipment,good
281,50,male,2,own,little,,1574,12,furniture/equipment,good
428,20,male,2,own,little,,1313,9,furniture/equipment,good
896,28,female,3,rent,little,little,2606,21,radio/TV,good
670,27,male,1,own,moderate,,4139,24,business,good
923,30,male,2,rent,little,moderate,2002,12,car,good
808,55,male,3,free,little,moderate,9283,42,car,good
887,23,male,2,own,little,moderate,15672,48,business,bad
577,33,female,2,own,,,1927,24,education,good
853,32,male,1,free,little,little,1442,18,car,bad
943,42,male,1,own,little,,1455,4,car,good
517,23,female,2,rent,little,,7127,36,furniture/equipment,bad
932,30,male,2,own,little,,1224,9,car,good
170,33,male,2,rent,little,little,950,15,car,bad
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
962,29,male,2,own,,,3556,15,car,good
78,39,male,1,own,,,9436,54,car,good
594,40,male,3,own,,little,1358,24,vacation/others,bad
786,40,male,2,own,quite rich,,2675,22,radio/TV,good
541,60,male,2,free,little,,2032,24,car,good
92,33,female,1,own,,,797,12,radio/TV,bad
526,31,female,2,own,moderate,,1532,15,education,good
258,23,female,2,own,moderate,,3812,15,car,good
407,27,male,2,own,little,little,1053,15,radio/TV,good
358,28,male,2,own,little,,776,12,radio/TV,good
104,26,male,2,rent,,,2445,12,car,good
276,26,female,2,own,little,,2404,18,radio/TV,good
242,24,male,2,free,little,little,4605,48,car,bad
16,53,male,2,own,,,2424,24,radio/TV,good
809,26,female,0,rent,little,moderate,1778,15,car,bad
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good
827,36,male,2,own,little,,4165,18,business,bad
584,52,female,3,free,,,2133,12,car,good
176,42,male,2,own,little,little,2577,12,furniture/equipment,good
714,27,male,3,own,little,moderate,14027,60,car,bad
832,29,male,2,rent,little,little,11816,45,business,bad
160,36,male,2,own,moderate,,2872,24,radio/TV,good
621,32,male,2,own,little,,1530,18,car,bad
917,68,male,3,own,little,little,14896,6,car,bad
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good
504,24,female,2,rent,little,little,1207,24,car,bad
551,45,male,1,own,quite rich,,1750,6,radio/TV,good
437,37,female,2,own,rich,,1287,24,car,good
330,75,male,3,free,little,little,6615,24,car,good
757,39,male,2,free,,rich,1271,15,radio/TV,bad
807,65,male,2,own,,,930,12,radio/TV,good
643,33,male,2,own,little,,1851,24,radio/TV,good
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
291,28,male,3,rent,little,moderate,9398,36,car,bad
937,30,male,3,rent,little,moderate,2063,6,radio/TV,good
840,29,male,2,own,little,little,5179,36,furniture/equipment,bad
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good
499,28,male,2,own,moderate,rich,1323,6,car,good
29,63,male,2,own,little,little,6836,60,business,bad
744,30,male,3,own,,little,14179,39,furniture/equipment,good
949,31,male,2,own,moderate,,3621,24,radio/TV,bad
821,24,male,2,own,little,rich,3016,12,radio/TV,good
970,22,male,2,own,moderate,moderate,1514,15,repairs,good
429,55,female,0,free,little,little,1190,18,repairs,bad
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
590,58,female,1,own,little,little,385,12,radio/TV,good
355,23,male,1,own,little,moderate,1246,24,car,bad
560,49,male,2,free,,little,2964,24,car,good
408,26,male,3,own,quite rich,,3235,24,radio/TV,good
513,20,male,2,rent,little,moderate,585,12,radio/TV,good
539,45,female,1,own,little,rich,3049,18,furniture/equipment,good
488,35,male,1,rent,moderate,,1418,10,car,good
658,28,female,2,own,little,moderate,4221,30,business,good
934,23,female,2,own,little,little,1498,12,radio/TV,good
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
465,63,male,2,own,little,little,2924,24,car,good
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
617,37,male,2,rent,little,little,3676,6,car,good
272,36,male,3,free,,moderate,12169,48,car,good
524,26,female,1,own,little,moderate,1113,18,radio/TV,good
485,47,male,3,own,little,moderate,1209,6,car,bad
26,39,male,1,own,little,,426,6,radio/TV,good
129,29,female,2,own,little,little,3499,12,car,bad
602,34,female,1,free,little,moderate,1837,24,education,bad
293,56,male,2,free,little,rich,4796,42,car,good
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
505,27,male,1,own,,,1309,10,car,bad
881,48,male,2,free,,,9277,24,car,good
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
668,43,male,2,rent,little,little,4843,12,car,bad
688,35,male,2,own,moderate,,2753,9,radio/TV,good
494,39,male,1,rent,little,little,2122,12,car,good
151,38,male,2,own,little,,1924,10,radio/TV,good
14,28,female,2,rent,little,little,1403,15,car,good
771,25,female,3,own,little,little,8065,36,education,bad
403,27,male,1,own,little,,802,14,car,good
43,24,male,2,rent,moderate,little,6187,30,car,good
629,64,male,1,own,,,3832,9,education,good
57,31,female,2,own,little,,9566,36,radio/TV,good
119,36,male,3,own,quite rich,moderate,2366,12,car,good
598,31,male,2,own,little,,2775,18,car,bad
684,31,male,1,own,moderate,moderate,9857,36,business,good
307,33,male,1,own,moderate,little,727,12,radio/TV,bad
196,28,female,2,own,little,,1382,6,radio/TV,good
115,47,male,2,own,,,3578,48,radio/TV,good
984,30,male,1,own,little,,2028,24,furniture/equipment,good
556,28,female,2,own,moderate,moderate,2278,18,car,bad
562,29,female,2,own,little,rich,683,6,radio/TV,good
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good
432,36,male,3,free,little,little,1872,6,furniture/equipment,good
19,31,male,2,own,quite rich,,3430,24,radio/TV,good
416,33,male,1,own,little,little,2579,12,car,bad
449,61,male,2,own,rich,moderate,1512,15,repairs,bad
784,60,male,3,own,,moderate,6468,20,car,good
956,49,male,1,own,,rich,3656,30,radio/TV,good
237,61,male,1,rent,moderate,moderate,2767,21,business,bad
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad
741,23,male,1,own,little,moderate,1048,10,radio/TV,good
769,63,male,1,own,little,,1655,12,radio/TV,good
469,35,male,1,own,little,,4679,24,car,good
903,40,male,2,rent,,,1386,15,radio/TV,good
801,48,female,1,rent,little,moderate,1795,18,radio/TV,good
640,27,female,0,own,little,little,750,18,education,bad
464,34,male,2,own,little,,1950,18,business,good
234,42,male,1,own,little,,1544,4,radio/TV,good
